"国家/业务线
",SKU,,,,,Coupon,,,,,,,,
,SKU ID（自动生成）,SKU名称,"原价
",有效期,Best Value角标,Coupon ID（数据库ID）,Promo Code,券名称,折扣后的价格,折扣,"立减（与折扣互斥）
",有效期（非必填）有效期结束之后，优惠券失效,优惠码数量（根据业务方的需求，研发生成）,优惠码每用户使用次数限制
"沙特
",新增,1-week,"SAR 51.99
","7天
",,"四位随机数，例：6666
",,"26年6月韩国新客折扣券
",,,,,,
,新增,1-month,SAR 174.99,30天,,,,"
",,,,,"
",
,新增,1-year,SAR 1099.99,365天,✅,,,"
",,,,,"
",
,,1-month-KOL,SAR 174.99,30天,,2000000000000101,"DINO4016, DINO0988, DINO4627, DINO7135, DINO1243, DINO6488, DINO3819, DINO8073, DINO3343, DINO0143, DINO8547, DINO8339, DINO6401, DINO9941, DINO0361, DINO4146, DINO1481, DINO2544, DINO6349, DINO6371, DINO9637, DINO2634, DINO4491, DINO5642, DINO2400, DINO0147, DINO8963, DINO7923, DINO7749, DINO0343, DINO8180, DINO5236, DINO1495, DINO5452, DINO1333, DINO9678, DINO0835, DINO9326, DINO4180, DINO8410, DINO6855, DINO3180, DINO3189, DINO8946, DINO8784, DINO8873, DINO2512, DINO9623, DINO8897, DINO1175, DINO8768, DINO5795, DINO2772, DINO8408, DINO8499, DINO9699, DINO7556, DINO1648, DINO9707, DINO2409, DINO6558, DINO3024, DINO9351, DINO9325, DINO1216, DINO2876, DINO2519, DINO7361, DINO5078, DINO7935, DINO9889, DINO5194, DINO5952, DINO4996, DINO0428, DINO8875, DINO4367, DINO3674, DINO0768, DINO3178, DINO2781, DINO1430, DINO4169, DINO5217, DINO6842, DINO5154, DINO5334, DINO6908, DINO3757, DINO7983, DINO2889, DINO4487, DINO2328, DINO0389, DINO7296, DINO0169, DINO5890, DINO3549, DINO5697, DINO2742",,,10%,,7月28日到9月30日,100,1000
